name,description,dimensions,year,image,video_key,display_option,collection
Serigraphie unique ,,50 x 65 cm,1976,SaAMWh9L1UX3U6reft27do7y,,image,Drawing 
Serigraphie 3 ,,50 x 65 cm,1976,qYMP6zGJ24AmRA9FrxRx7HVG,,image,Drawing 
Serigraphie E.A. ,,,1976,zcDhh5F61CqW7JUs5YaPPitV,,image,Drawing 
Signes 1,,,1976,EhfecTquUfbTRHoiefSJeD9S,,image,Drawing 
Signes 2,Lithographie - 25 exemplaires ,,1976,qdfTwiedFtQ34FVgEuHDhw6b,,image,Drawing 
Signes 3,,,1976,AgjSP1ZyH3czGcjx4xuWx8q6,,image,Drawing 
Signes 5,,50 x 65 cm,1976,zkbcWhxhRaMrdCk4v4FtnSKQ,,image,Drawing 
Gouache ,,30 x 30 cm,1975,zeiB3xXEMygNoZP1T8WVrhWj,,image,Drawing 
Cercle Ouvert ,,30 x 30 cm,1974,BDg2PdCCXYdmv9c9CNtgb8HL,,image,Drawing 
Dessin de Pierre Restani pour 1+1 ,,25 x 36 cm,1974,ioTorL49j2nAQo9QwV4kpVPr,,image,Drawing 
Dessin jaune ,,30 x 30 cm,1974,qKApo6gqD9Fh4UYzjKNNmjGQ,,image,Drawing 
Dessin ligne grise ,,30 x 30 cm,1974,UvadFvCdEtdkEh8TZSUiNywd,,image,Drawing 
Dessin s.t.L.bleu ,,30 x 30 cm,1974,6hizA2XhPFjtVZUcbq7VKaEe,,image,Drawing 
Dessin Z ,,,1974,HCuZiRjPKERJEniS7uqvpxFy,,image,Drawing 
Espace Ouvert ,,30 x 30 cm,1974,5fmAatLEhr4hkMghC3tQkA2z,,image,Drawing 
Gouache 4 couleurs ,,50 x 65 cm,1974,3mD4a7t8oJejegorh4ZY13iG,,image,Drawing 
Restani-Vilder Edition 1+1 ,,30 x 30 cm,1974,3WyzzbxaQqEJpzsd6JjNuw3U,,image,Drawing 
Serrighraphie unique ,,50 x 65 cm,1974,3dWezS5MsVp2bDj34hURom2h,,image,Drawing 
Triangle Dessin ,,30 x 30 cm,1974,KidSU8t3gtNCmrDkX8k5hcHZ,,image,Drawing 
Dessin Ordinateur ,,,1973,uWGTFRvkw8cxzsW7jPSmYwgV,,image,Drawing 
Dessin V ,,,1973,EYitNAwfaC1fZQaR9qz8ou28,,image,Drawing 
Vague quantique ,,,1973,tsbcrgstACYfhHLaPp99byxc,,image,Drawing 
Lithographie 2,,28 x 28 cm,1972,zwsn2fEANCjvR9ob2KcSesD6,,image,Drawing 
Lithographie 3,,28 x 28 cm,1972,Ln2fQQN88mhYAw7VQCf5YfjC,,image,Drawing 
Lithographie 4,,28 x 28 cm,1972,DdgvACmBbFYCYs8DiTRNUZRk,,image,Drawing 
Dessin C ,,,1971,yTGggGhsFVAXiabpLXdQBgn8,,image,Drawing 
Dessin collage 1,,60 x 60 cm ,1971,WHD7EuiEsUBgEg9TpeDSimZi,,image,Drawing 
Dessin collage 2,,60 x 60 cm ,1971,9S15hJepDPJuJpsxZjzxUbyi,,image,Drawing 
Dessin collage 3,,60 x 60 cm ,1971,6tMD2hexHrGWa7odNnP3DnuJ,,image,Drawing 
Dessin collage 4,,60 x 60 cm ,1971,Xd5a3sCTHoMarvR46K7PjNJ6,,image,Drawing 
Lithographie 1 ,,28 x 28 cm,1971,CC9eBxbN6VbngKFX7Sua5HVn,,image,Drawing 
Ciel,,,,DDkF1P6pf4rMoyneBLRhsjW7,,image,Photo
Reflet ,,,,WZjbSZCKsNgdBmwg8tsvXvwX,,image,Photo
Feria - Nimes ,,,2007,UnyfBFpZWGKgM6uS9c5CmbYL,,image,Photo
Monument Shoah - Berlin ,,,2007,v5eDvtJafd8fJW4i3b5TXAm1,,image,Photo
